open_time,open,high,low,close,volume,num_trades,taker_base_vol
1599624000000,10026.69,10197.57,10002.66,10190.0,7030.107648,105982,3604.732521
1599638400000,10190.0,10274.59,10140.22,10221.37,8985.10967,133182,4533.937168
1599652800000,10221.47,10280.62,10165.99,10246.11,10179.588031,152839,4802.251788
1599667200000,10246.11,10343.0,10200.0,10276.77,10210.602762,132223,5004.767958
1599681600000,10276.46,10298.1,10169.91,10219.2,6286.39929,109409,2660.883933
1599696000000,10219.29,10414.08,10070.83,10371.23,10106.157273,150331,5107.414085
1599710400000,10371.23,10418.0,10251.0,10275.29,8685.976702,126303,4211.742775
1599724800000,10275.22,10321.2,10230.31,10292.62,7807.789855,115624,3488.103139
1599739200000,10292.61,10483.35,10283.16,10414.16,15245.671612,190280,6996.948896
1599753600000,10414.15,10442.0,10250.02,10270.01,10399.118322,162983,4981.592461
1599768000000,10270.09,10355.37,10262.43,10336.87,6009.039986,106356,2904.311142
1599782400000,10336.86,10380.34,10209.75,10220.76,7667.499589,125284,3709.070616
1599796800000,10220.77,10291.94,10200.0,10260.75,6951.771571,111447,3373.55251
1599811200000,10260.76,10333.91,10250.0,10252.6,8891.263122,112661,4265.596927
1599825600000,10252.6,10331.79,10250.55,10318.76,8358.6651,104642,4018.603414
1599840000000,10318.77,10345.31,10267.67,10323.2,6160.608282,93834,2956.225575
1599854400000,10323.2,10397.6,10305.39,10387.89,5800.446803,90001,2908.561685
1599868800000,10387.89,10397.86,10322.03,10342.33,4642.697199,76797,2271.258505
1599883200000,10342.33,10370.0,10306.34,10343.98,4576.097143,67735,2210.335646
1599897600000,10343.97,10359.48,10320.18,10341.59,5513.16958,95011,2592.844724
1599912000000,10341.58,10380.0,10269.25,10359.99,7607.533871,120254,3755.15749
1599926400000,10360.0,10477.97,10348.89,10461.39,8117.251809,123030,4256.541804
1599940800000,10461.24,10473.33,10408.0,10440.92,4922.403494,94897,2474.630716
1599955200000,10440.67,10559.12,10400.04,10556.26,6546.993296,95822,3429.518009
1599969600000,10556.4,10580.11,10520.0,10542.27,5503.788376,79933,2587.338427
1599984000000,10542.27,10560.0,10303.28,10324.89,10465.586113,157564,4922.228243
1599998400000,10324.88,10352.21,10258.0,10280.14,8650.354188,141368,3944.741521
1600012800000,10280.15,10323.67,10200.0,10309.05,8489.098921,142100,3969.64909
1600027200000,10309.05,10332.84,10284.74,10332.83,4181.788971,75652,1932.042038
1600041600000,10332.84,10371.03,10240.34,10348.14,6172.104393,88633,2791.965543
1600056000000,10348.14,10404.0,10316.18,10399.32,7110.434622,93519,3285.295693
1600070400000,10399.31,10479.0,10212.34,10469.82,13522.167137,155338,6542.047329
1600084800000,10469.92,10706.91,10450.31,10698.03,22482.780538,236480,11186.402961
1600099200000,10698.03,10750.0,10640.0,10665.0,10863.22929,145926,4884.836285
1600113600000,10665.0,10747.36,10618.82,10671.77,6908.575381,109061,3189.815346
1600128000000,10671.77,10839.0,10650.0,10755.13,9508.012817,121231,4903.189918
1600142400000,10755.12,10784.23,10688.94,10741.37,6840.793185,103987,3321.012195
1600156800000,10741.37,10882.0,10606.48,10821.15,13021.686816,188847,6179.103517
1600171200000,10821.15,10930.04,10736.63,10784.46,15792.393866,222270,7539.115026
1600185600000,10785.23,10827.61,10700.0,10783.36,8235.09588,126050,3872.532784
1600200000000,10783.35,10886.39,10716.95,10785.31,8424.470222,131467,3929.133837
1600214400000,10785.23,10791.72,10661.22,10779.41,9304.557234,155247,4572.801366
1600228800000,10779.61,10939.6,10758.59,10915.49,9786.975508,127034,4726.908094
1600243200000,10916.09,10930.0,10827.0,10898.99,9922.89537,133139,4723.61749
1600257600000,10899.0,11016.69,10860.0,11004.99,14857.268173,172669,7568.43961
1600272000000,11004.99,11093.0,10960.03,10982.2,14737.587872,185112,7040.608589
1600286400000,10982.2,11047.84,10941.35,10954.01,6382.228283,110952,3108.136542
1600300800000,10954.01,11045.46,10869.0,10872.09,10583.937585,150147,5277.830853
1600315200000,10872.3,10929.99,10842.77,10882.39,8292.700972,127976,3976.068025
1600329600000,10882.38,10905.0,10781.0,10877.65,10363.633697,148381,4795.088322
1600344000000,10877.65,10885.47,10745.83,10838.31,11754.166854,159921,5584.490111
1600358400000,10838.3,10926.82,10794.23,10916.63,8403.446558,135696,4280.64311
1600372800000,10916.63,10968.95,10903.51,10939.99,6203.728863,107016,3115.806614
1600387200000,10940.0,10960.0,10883.2,10924.36,5369.497854,88785,2729.128509
1600401600000,10924.22,10985.0,10870.01,10954.14,7589.027762,115378,3617.412093
1600416000000,10954.14,11038.03,10925.62,10977.26,8970.959342,121643,4406.295435
1600430400000,10977.4,11003.09,10870.37,10899.37,8964.703782,137277,4299.611537
1600444800000,10899.42,10900.0,10812.84,10866.55,10970.238958,161712,5282.280966
1600459200000,10866.55,10944.79,10850.0,10933.39,5402.300577,92576,2710.191346
